"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean_alcohol","mean_sir","pif_joint","se","l","u"
"India","Male","35-39",37.5,12.5,"10-14 years","intracerebral_haemorrhage",0.00869689846884032,0.0173639393935424,0.0259098254444581,NA,NA,NA
"India","Male","35-39",37.5,12.5,"10-14 years","ischaemic_stroke",0.0073987971803513,0.0173639393935424,0.024634264308069,NA,NA,NA
"India","Male","35-39",37.5,12.5,"10-14 years","other_pharyngeal_cancers",0.0443062024495497,0.0501348107439161,0.0922197301188761,NA,NA,NA
"India","Male","35-39",37.5,12.5,"10-14 years","tuberculosis",0.0382238354893138,0.00790959028887492,0.045831090900199,NA,NA,NA
"India","Male","35-39",37.5,17.5,"15-19 years","intracerebral_haemorrhage",0.00869689846884032,0.0173639393935424,0.0259098254444581,NA,NA,NA
"India","Male","35-39",37.5,17.5,"15-19 years","ischaemic_stroke",0.0073987971803513,0.0173639393935424,0.024634264308069,NA,NA,NA
"India","Male","35-39",37.5,17.5,"15-19 years","other_pharyngeal_cancers",0.0443062024495497,0.0599037260726938,0.101555821907384,NA,NA,NA
"India","Male","35-39",37.5,17.5,"15-19 years","tuberculosis",0.0382238354893138,0.00790959028887492,0.045831090900199,NA,NA,NA
"India","Male","35-39",37.5,2.5,"0-4 years","intracerebral_haemorrhage",0.00869689846884032,0.0088556090907066,0.0174754912264053,NA,NA,NA
"India","Male","35-39",37.5,2.5,"0-4 years","ischaemic_stroke",0.0073987971803513,0.0088556090907066,0.0161888854154872,NA,NA,NA
"India","Male","35-39",37.5,2.5,"0-4 years","other_pharyngeal_cancers",0,0.015482809200327,0.015482809200327,NA,NA,NA
"India","Male","35-39",37.5,2.5,"0-4 years","tuberculosis",0.0382238354893138,0.00790959028887492,0.045831090900199,NA,NA,NA
"India","Male","35-39",37.5,22.5,"20-24 years","intracerebral_haemorrhage",0.00869689846884032,0.0173639393935424,0.0259098254444581,NA,NA,NA
"India","Male","35-39",37.5,22.5,"20-24 years","ischaemic_stroke",0.0073987971803513,0.0173639393935424,0.024634264308069,NA,NA,NA
"India","Male","35-39",37.5,22.5,"20-24 years","other_pharyngeal_cancers",0.0443062024495497,0.0645117050013626,0.105959638788756,NA,NA,NA
"India","Male","35-39",37.5,22.5,"20-24 years","tuberculosis",0.0382238354893138,0.00790959028887492,0.045831090900199,NA,NA,NA
"India","Male","35-39",37.5,27.5,"25-29 years","intracerebral_haemorrhage",0.00869689846884032,0.0173639393935424,0.0259098254444581,NA,NA,NA
"India","Male","35-39",37.5,27.5,"25-29 years","ischaemic_stroke",0.0073987971803513,0.0173639393935424,0.024634264308069,NA,NA,NA
"India","Male","35-39",37.5,27.5,"25-29 years","other_pharyngeal_cancers",0.0443062024495497,0.0689353647728846,0.110187302994873,NA,NA,NA
"India","Male","35-39",37.5,27.5,"25-29 years","tuberculosis",0.0382238354893138,0.00790959028887492,0.045831090900199,NA,NA,NA
"India","Male","35-39",37.5,7.5,"5-9 years","intracerebral_haemorrhage",0.00869689846884032,0.0151934469693496,0.0237582095725057,NA,NA,NA
"India","Male","35-39",37.5,7.5,"5-9 years","ischaemic_stroke",0.0073987971803513,0.0151934469693496,0.0224798309171043,NA,NA,NA
"India","Male","35-39",37.5,7.5,"5-9 years","other_pharyngeal_cancers",0,0.037601108057937,0.037601108057937,NA,NA,NA
"India","Male","35-39",37.5,7.5,"5-9 years","tuberculosis",0.0382238354893138,0.00790959028887492,0.045831090900199,NA,NA,NA
"India","Male","40-44",42.5,12.5,"10-14 years","intracerebral_haemorrhage",0.00869689846884032,0.0114667318728884,0.0200639053388608,NA,NA,NA
"India","Male","40-44",42.5,12.5,"10-14 years","ischaemic_stroke",0.0073987971803513,0.0114667318728884,0.0187806890297907,NA,NA,NA
